class_string	label	tags	stack_size
PrimalItemWeapon_RioCryoGun_C	(ADT) Cryo Gun	object,blueprintable	1
PrimalItemStructure_RioCryoTerminal_C	(ADT) Cryo Terminal	object,blueprintable	100
PrimalItem_WeaponEmptyEvilCryopod_C	(ADT) Cryoball	object,blueprintable	1
PrimalItem_CryopodStack_C	(ADT) Cryoball Stack	object,blueprintable	
PrimalItemStructure_RioFridge_Cryo_C	(ADT) CryoFridge	object,blueprintable	100
PrimalItem_WeaponUndeadGrap_C	(ADT) Graphook	object,blueprintable	1
PrimalItemConsumableRespecSoupUndead_C	(ADT) Mindwipe Tonic	object,blueprintable	100
PrimalItemStructure_RioNanny_C	(ADT) Nanny	object,blueprintable	100
PrimalItemStructure_birthday_cake_RoundTable_C	1 Year Anniversary Klinger Rustic V2	object,blueprintable	1
PI_PointEater_5000_C	1000Px Coin	object,blueprintable	1
PI_PointEater_500_C	100Px Coin	object,blueprintable	1
PI_PointEater_1000_C	200Px Coin	object,blueprintable	1
PI_PointEater_100_C	20Px Coin	object,blueprintable	1
PrimalItemStructure_Dev_AC_C	[Dev] Air Conditioner	object,blueprintable	5
PrimalItemStructure_DevAmmoContainer_C	[Dev] Ammo Container	object,blueprintable	100
PrimalItemStructure_Dev_BeeHive_C	[Dev] Bee Hive	object,blueprintable	1
PrimalItemStructure_DevBeerBarrel_C	[Dev] Beer Barrel	object,blueprintable	3
PrimalItem_DevWeaponBinoculars_C	[Dev] Binoculars	object,blueprintable,tek	100
PrimalItemStructure_DevBioGrinder_C	[Dev] Bio-Grinder	object,blueprintable	5
PrimalItemStructure_DevBlueprintCrafter_C	[Dev] BlueprintMaker	object,blueprintable	100
PrimalItemStructure_CannonTurret_C	[Dev] Cannon Turret	object,blueprintable	100
PrimalItemStructure_CropHandler_C	[Dev] Crop Handler	object,blueprintable	100
PrimalItemStructure_CrystalCracker_C	[Dev] Crystal Cracker	object,blueprintable	100
PrimalItemStructure_DevDedicatedStorage_C	[Dev] Dedicated Storage	object,blueprintable	1
PrimalItemStructure_DyeStation_C	[Dev] Dye Station	object,blueprintable	100
PrimalItemStructure_DevFeedingTrough_C	[Dev] Feeding Trough	object,blueprintable	100
PrimalItemStructure_FertilizerHandler_C	[Dev] Fertilizer Handler	object,blueprintable	100
PrimalItemStructure_FlameTurret_C	[Dev] Flame Turret	object,blueprintable	100
PrimalItemStructure_DevGasCollector_C	[Dev] Gas Collector	object,blueprintable,tek	100
PrimalItemStructure_DevGrinder_C	[Dev] Grinder	object,blueprintable	1
PrimalItemStructure_Hatchery_C	[Dev] Hatchery	object,blueprintable	100
PrimalItemStructure_ItemCollector_C	[Dev] Item Collector	object,blueprintable	100
PrimalItemStructure_DevTekChemBench_C	[Dev] Laboratory	object,blueprintable	100
PrimalItemStructure_DevCropPlot_Large_C	[Dev] Large Crop Plot	object,blueprintable	100
PrimalItemStructure_DevLibraryStorage_C	[Dev] Library Storage	object,blueprintable	5
PrimalItemStructure_BetterLinkedStorage_C	[Dev] Linked Storage Box	object,blueprintable	5
PrimalItemStructure_DevCropPlot_Medium_C	[Dev] Medium Crop Plot	object,blueprintable	100
PrimalItemStructure_Dev_Metal_OceanPlatform_C	[Dev] Metal Ocean Platform	object,blueprintable	100
PrimalItemStructure_MinigunTurret_C	[Dev] Minigun Turret	object,blueprintable	100
PrimalItem_WeaponDevMiningDrill_C	[Dev] Mining Drill	object,blueprintable	1
PrimalItem_MultiTool_C	[Dev] Multi-Tool	object,blueprintable	1
PrimalItemStructure_DevMutator_C	[Dev] Mutator	object,blueprintable	100
PrimalItemStructure_DevOilPump_C	[Dev] Oil Pump	object,blueprintable	100
PrimalItemStructure_Propagator_C	[Dev] Propagator	object,blueprintable	100
PrimalItemStructure_ResourceBox_C	[Dev] Resource Box	object,blueprintable	100
PrimalItemStructure_ResourceDistributor_C	[Dev] Resource Distributor	object,blueprintable	100
PrimalItemStructure_RocketTurret_C	[Dev] Rocket Turret	object,blueprintable	100
PrimalItem_PhoenixFlamethrower_C	[Dev] Sacred Flamethrower	object,blueprintable	1
PrimalItemStructure_DevCropPlot_Small_C	[Dev] Small Crop Plot	object,blueprintable	100
PrimalItemStructure_MetalFloatingFoundation_C	[Dev] Stacking Foundation	object,blueprintable	100
PrimalItemStructure_DevTekAlarm_C	[Dev] Tek Alarm	object,blueprintable	
PrimalItemStructure_Tek_Behemoth_Ceiling_C	[Dev] Tek Behemoth Ceiling	object,blueprintable	100
PrimalItemConsumable_DevTekCanteenCraftable_C	[Dev] Tek Canteen	object,blueprintable	1
PrimalItemStructure_DevTekCloningChamber_C	[Dev] Tek Cloning Chamber	object,blueprintable,tek	1
PrimalItemStructure_TekCookingPot_C	[Dev] Tek Cooking Pot	object,blueprintable	100
PrimalItemStructure_DevTekForcefield_C	[Dev] Tek Forcefield	object,blueprintable	100
PrimalItemStructure_TekForge_C	[Dev] Tek Forge	object,blueprintable	100
PrimalItemStructure_DevTekLight_C	[Dev] Tek Light	object,blueprintable,tek	100
PrimalItemStructure_FridgeTek_C	[Dev] Tek Refrigerator	object,blueprintable	100
