object_id	content_pack_id	label	alternate_label	tags	native_editor_version	file	header	key	value_type	max_allowed	description	default_value	nitrado_path	nitrado_format	nitrado_deploy_style	ui_group	custom_sort	constraints	gsa_placeholder	uwp_changes
6adf0bd0-8cbe-582b-a3fc-47e007086fb2	b32a3d73-9406-56f2-bd8f-936ee0275249	Active Mod IDs				GameUserSettings.ini	ServerSettings	ActiveMods	Text	1	Specifies the order and which mods are loaded. ModIDs need to be comma seperated and in one line.		config.active-mods	Value	Both	Mods		{"trim_chars":[","],"allowed_chars":"\\d,","auto_imported":false}	%%MODIDS%%	
1c6f0246-c007-5591-87f4-f42e2e4ef57c	b32a3d73-9406-56f2-bd8f-936ee0275249	Admin List URL				GameUserSettings.ini	ServerSettings	AdminListURL	Text	1	The url to a hosted text file containing one EOS ID per line of players that should be automatically granted admin. Must be enclosed in double quotes.							{"endswith":"\"","beginswith":"\""}		
4819f672-fb29-5f99-9902-fba182d2f01c	b32a3d73-9406-56f2-bd8f-936ee0275249	Admin Password			20000000	CommandLineOption	?	ServerAdminPassword	Text	1	If specified, players must provide this password (via the in-game console) to gain access to administrator commands on the server.	None								
8208d48d-22a4-5983-a3a9-9a1a51f5ae50	b32a3d73-9406-56f2-bd8f-936ee0275249	Allow Bunker Modules Above Ground				GameUserSettings.ini	ServerSettings	AllowBunkerModulesAboveGround	Boolean		Allow bunker modules above ground.	False				Tek Bunker				
4750ebff-a7a4-54a7-bcf2-60635078d2d8	b32a3d73-9406-56f2-bd8f-936ee0275249	Allow Bunker Modules In "No Build" Zones				GameUserSettings.ini	ServerSettings	AllowBunkerModulesInPreventionZones	Boolean		Allow bunker modules in areas that normally prevent building.	False				Tek Bunker		{"other":{"key":"50d92afc-c04d-5f02-8a94-0dc0645acea7","value":true}}		
50d92afc-c04d-5f02-8a94-0dc0645acea7	b32a3d73-9406-56f2-bd8f-936ee0275249	Allow Bunkers In "No Build" Zones				GameUserSettings.ini	ServerSettings	AllowBunkersInPreventionZones	Boolean		Allow bunkers in areas that normally prevent building.	False				Tek Bunker				
27dddf0c-aa6c-5050-b5e8-36097f931f35	b32a3d73-9406-56f2-bd8f-936ee0275249	Allow Cryofridge On Saddles				GameUserSettings.ini	ServerSettings	AllowCryoFridgeOnSaddle	Boolean	1	Will allow Cryofridges to be placed on rafts and platform saddles.	False				Cryopods				
f234dd56-27c2-5316-b733-36ce433d1412	b32a3d73-9406-56f2-bd8f-936ee0275249	Allow Dinos In Bunkers				GameUserSettings.ini	ServerSettings	AllowDinoAIInsideBunkers	Boolean		Allow dinos in bunkers.	True				Tek Bunker				
f038299e-69e0-50cd-98fa-e40fd1d63514	b32a3d73-9406-56f2-bd8f-936ee0275249	Allow Riding In Bunkers				GameUserSettings.ini	ServerSettings	AllowRidingDinosInsideBunkers	Boolean		Allow riding dinos in bunkers.	True				Tek Bunker		{"other":{"key":"f234dd56-27c2-5316-b733-36ce433d1412","value":true}}		
2dd5de45-627d-57f4-aadb-4ba96490e7b4	b32a3d73-9406-56f2-bd8f-936ee0275249	Allow Speed Leveling				Game.ini	/script/shootergame.shootergamemode	bAllowSpeedLeveling	Boolean	1	Allows points to be spent on leveling for both players and tames.	False								
e86b4f84-8092-5523-9d0a-515adc3c8b20	b32a3d73-9406-56f2-bd8f-936ee0275249	Allow Supply Crates on Structures				CommandLineOption	?	AllowCrateSpawnsOnTopOfStructures	Boolean	1	Supply crates will descend until they rest on top of structures instead of not spawning.	False				Build Restrictions	PvEAllowStructuresAtSupplyDrops1	{"other":{"key":"48078604-ad3f-58b0-92e6-8bc8c8966ab5","value":true}}		
683591ee-27db-57c9-8e25-7f651ca6576d	b32a3d73-9406-56f2-bd8f-936ee0275249	Allow Tesla Coils in Caves				GameUserSettings.ini	ServerSettings	AllowTeslaCoilCaveBuildingPVP	Boolean	1	Allows building tesla coils in caves.	False				Build Restrictions				
291bb737-dac0-5a50-a454-e46dcba8969e	b32a3d73-9406-56f2-bd8f-936ee0275249	Alpha Kill XP Multiplier				Game.ini	/script/shootergame.shootergamemode	AlphaKillXPMultiplier	Numeric	1	Values greater than 1.0 increase the experience gained from alpha kills.	1.0				XP Multipliers				
e3190014-8fe1-5577-83e4-c7f8aeb7340c	b32a3d73-9406-56f2-bd8f-936ee0275249	Always Allow Structure Pickup				GameUserSettings.ini	ServerSettings	AlwaysAllowStructurePickup	Boolean	1	Structures can always be picked up regardless of how long ago they were placed.	True				Structure Pickup				
46cc2f6b-321b-53a8-bf40-521672ba39d1	b32a3d73-9406-56f2-bd8f-936ee0275249	Any Player May Imprint			20000000	CommandLineOption	?	AllowAnyoneBabyImprintCuddle	Boolean	1	If enabled, any player may perform imprint actions. If disabled, only the player who originally imprinted the creature may perform the imprint actions.	False								
06c21131-a790-5b02-98f3-557981dfe89f	b32a3d73-9406-56f2-bd8f-936ee0275249	Armadoggo Respawn Cooldown				GameUserSettings.ini	ServerSettings	ArmadoggoDeathCooldown	Numeric	1	Number of seconds between Armadoggo respawns. Must be greater than zero.	3600						{"min":1}		
